"LIBRARYREFERENCE","FOOTPRINT1","ARROW PART NUMBER","ARROW PRICE/STOCK","CASE/PACKAGE","COMMENT","CURRENT RATING","DATASHEET LINK","DC RESISTANCE (DCR)","FORWARD VOLTAGE","HEIGHT","INDUCTANCE","MANUFACTURER","MANUFACTURER 1","MANUFACTURER PART NUMBER","MANUFACTURER PART NUMBER 1","MANUFACTURER_NAME","MANUFACTURER_PART_NUMBER","MOUNTING TYPE","MOUSER PART NUMBER","MOUSER PRICE/STOCK","NUMBER OF POSITIONS","NUMBER OF ROWS","PACKAGE/FOOTPRINT","POSITIONS","RESISTANCE","REVERSE VOLTAGE","ROWS","SATURATION CURRENT","SUPPLIER 1","SUPPLIER PART NUMBER","SUPPLIER PART NUMBER 1","TEMPERATURE COEFFICIENT","THROW CONFIGURATION","TOLERANCE","VALUE","VOLTAGE BREAKDOWN","VOLTAGE RATING","VOLTAGE RATING (DC)","SHEETPART","DESIGNATOR","DESCRIPTION"
".CAP_0402","CAP0402","","","0402","CAP_0603","","","","","","","*","","","*","","","Surface Mount","","","","","","","","","","","","","","*","","*","*","","*","","*","C?","GENERIC 0402 CAP"
".CAP_0603","CAP0603","","","0603","CAP_0603","","","","","","","*","","","*","","","Surface Mount","","","","","","","","","","","","","","*","","*","*","","*","","*","C?","GENERIC 0603 CAP"
".CAP_0805","CAP0805","","","0805","CAP_0603","","","","","","","*","","","*","","","Surface Mount","","","","","","","","","","","","","","*","","*","*","","*","","*","C?","GENERIC 0805 CAP"
".CAP_1206","CAP1206","","","1206","CAP_0603","","","","","","","*","","","*","","","Surface Mount","","","","","","","","","","","","","","*","","*","*","","*","","*","C?","GENERIC 1206 CAP"
".DIODE","","","","","GENERIC DIODE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","D?","GENERIC DIODE"
".IND","","","","","Inductor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","L?","GENERIC INDUCTOR"
".LED_BLUE","LED_0603","","","","GENERIC LED - BLUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","D?","GENERIC LED - BLUE"
".LED_GREEN","LED_0603","","","","GENERIC LED - GREEN","","","","","","","","","150060VS75000","","","","","","","","","","","","","","","","","","","","","","","","","*","D?","GENERIC LED - GREEN"
".LED_ORANGE","LED_0603","","","","GENERIC LED - ORANGE","","","","","","","","","150060AS75000","","","","","","","","","","","","","","","","","","","","","","","","","*","D?","GENERIC LED - ORANGE"
".LED_RED","LED_0603","","","","GENERIC LED -RED","","","","","","","","","150060RS75000","","","","","","","","","","","","","","","","","","","","","","","","","*","D?","GENERIC LED - RED"
".RES_0402","RES0402","","","*","RES_0402","","","","","","","*","","*","","","","","","","","","","","*","","","","","","","","","*","","","","","","R?","GENERIC 0402 RES"
".RES_0603","RES0603","","","","RES_0603","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","R?","GENERIC 0603 RES"
".RES_0805","","","","","RES_0805","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","R?","GENERIC 0805 RES"
".RES_1206","","","","","RES_1206","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","R?","GENERIC 1206 RES"
".RES_RC0402FR-07100KL","RES0402","","","0402","RES_0402","","","","","","","YAGEO","","RC0402FR-07100KL","","","","","","","","","","","100K","","","","","","","","","1%","","","","","","R?","RES 100K OHM 1% 1/16W 0402"
".RES_RC0402FR-0710KL","RES0402","","","0402","RES_0402","","","","","","","YAGEO","","RC0402FR-0710KL","","","","","","","","","","","10K","","","","","","","","","1%","","","","","","R?","RES 10K OHM 1% 1/16W 0402"
".RES_RC0402FR-07130RL","RES0402","","","0402","RES_0402","","","","","","","YAGEO","","RC0402FR-07130RL","","","","","","","","","","","130R","","","","","","","","","1%","","","","","","R?","RES 130 OHM 1% 1/10W 0402"
".RES_RC0402FR-07147KL","RES0402","","","0402","RES_0402","","","","","","","YAGEO","","RC0402FR-07147KL","","","","","","","","","","","147K","","","","","","","","","1%","","","","","","R?","RES 147K OHM 1% 1/16W 0402"
".RES_RC0402FR-071K5L","RES0402","","","0402","RES_0402","","","","","","","YAGEO","","RC0402FR-071K5L","","","","","","","","","","","1.5K","","","","","","","","","1%","","","","","","R?","RES 1.5K OHM 1% 1/16W 0402"
".RES_RC0402FR-071ML","RES0402","","","0402","RES_0402","","","","","","","YAGEO","","RC0402FR-071ML","","","","","","","","","","","1M","","","","","","","","","1%","","","","","","R?","RES 1M OHM 1% 1/16W 0402"
".RES_RC0402FR-07200KL","RES0402","","","0402","RES_0402","","","","","","","YAGEO","","RC0402FR-07200KL","","","","","","","","","","","200K","","","","","","","","","1%","","","","","","R?","RES 200K OHM 1% 1/16W 0402"
".RES_RC0402FR-0720KL","RES0402","","","0402","RES_0402","","","","","","","YAGEO","","RC0402FR-0720KL","","","","","","","","","","","20K","","","","","","","","","1%","","","","","","R?","RES 20K OHM 1% 1/16W 0402"
".RES_RC0402FR-072K49L","RES0402","","","0402","RES_0402","","","","","","","YAGEO","","RC0402FR-072K49L","","","","","","","","","","","2.49K","","","","","","","","","1%","","","","","","R?","RES 2.49K OHM 1% 1/16W 0402"
".RES_RC0402FR-07300RL","RES0402","","","0402","RES_0402","","","","","","","YAGEO","","RC0402FR-07300RL","","","","","","","","","","","300R","","","","","","","","","1%","","","","","","R?","RES 300 OHM 1% 1/16W 0402"
".RES_RC0402FR-0733RL","RES0402","","","0402","RES_0402","","","","","","","YAGEO","","RC0402FR-0733RL","","","","","","","","","","","33R","","","","","","","","","1%","","","","","","R?","RES 33 OHM 1% 1/16W 0402"
".RES_RC0402FR-0745K3L","RES0402","","","0402","RES_0402","","","","","","","YAGEO","","RC0402FR-0745K3L","","","","","","","","","","","45.3K","","","","","","","","","1%","","","","","","R?","RES 45.3K OHM 1% 1/16W 0402"
".RES_RC0402FR-07470RL","RES0402","","","0402","RES_0402","","","","","","","YAGEO","","RC0402FR-07470RL","","","","","","","","","","","470R","","","","","","","","","1%","","","","","","R?","RES 470 OHM 1% 1/16W 0402"
".RES_RC0402FR-0749R9L","RES0402","","","0402","RES_0402","","","","","","","YAGEO","","RC0402FR-0749R9L","","","","","","","","","","","49.9R","","","","","","","","","1%","","","","","","R?","RES 49.9 OHM 1% 1/16W 0402"
".RES_RC0402FR-074K7L","RES0402","","","0402","RES_0402","","","","","","","YAGEO","","RC0402FR-074K7L","","","","","","","","","","","4.7K","","","","","","","","","1%","","","","","","R?","RES 4.7K OHM 1% 1/16W 0402"
".RES_RC0402JR-070RL","RES0402","","","0402","RES_0402","","","","","","","YAGEO","","RC0402JR-070RL","","","","","","","","","","","0R","","","","","","","","","1%","","","","","","R?","RES 0 OHM JUMPER 1/16W 0402"
"0455580003","0455580003","0455580003","https://www.arrow.com/en/products/0455580003/molex?region=nac","","0455580003","","http://www.molex.com/pdm_docs/sd/455580003_sd.pdf","","","10mm","","","","","","Molex","0455580003","","N/A","https://www.mouser.co.uk/ProductDetail/Molex/0455580003?qs=PBcRNPEHKsr%252BGoTfgbyscA%3D%3D","","","","","","","","","","","","","","","","","","","*","J?","Connector Header Through Hole, Right Angle 6 position 0.165" (4.20mm)"
"0472720001","0472720001","0472720001","https://www.arrow.com/en/products/0472720001/molex?region=europe","","0472720001","","http://www.molex.com/pdm_docs/sd/472720001_sd.pdf","","","6.9mm","","","","","","Molex","0472720001","","N/A","https://www.mouser.co.uk/ProductDetail/Molex/0472720001?qs=PBcRNPEHKsrarbeLf7n8sg%3D%3D","","","","","","","","","","","","","","","","","","","*","J?","CONN RCPT DISPLAYPORT 20P SMD RA"
"74AVC4T245PW,118","SOP65P640X110-16N","74AVC4T245PW,118","https://www.arrow.com/en/products/74avc4t245pw118/nexperia?region=nac","","74AVC4T245PW,118","","https://assets.nexperia.com/documents/data-sheet/74AVC4T245.pdf","","","1.1mm","","","","","","Nexperia","74AVC4T245PW,118","","771-74AVC4T245PW118","https://www.mouser.co.uk/ProductDetail/Nexperia/74AVC4T245PW118?qs=Lc7Es0%252BIaGKdmOKZhQIwZQ%3D%3D","","","","","","","","","Digi-Key","","1727-6573-6-ND","","","","","","","","*","U?","IC TRANSLATION TXRX 3.6V 16TSSOP"
"74LVC1T45GW,125","NEXPERIA_TSSOP6","","","","74LVC1T45GW,125","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","IC TRANSLTR BIDIRECTIONAL 6TSSOP"
"824012823","824012823","","","","824012823","","https://www.we-online.com/catalog/datasheet/824012823.pdf","","","0.5mm","","","","","","Wurth Elektronik","824012823","","710-824012823","https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/824012823?qs=rrS6PyfT74dPtw7q26tZFg%3D%3D","","","","","","","","","Digi-Key","732-11794-6-ND","","","","","","4.5V","","","*","U?","TVS DIODE 3.3VWM 13VC DFN1210-6"
"BSS138PW,115","NEXPERIA_SOT323","","","","BSS138PW,115","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","Q?","MOSFET N-CH 60V 320MA SOT323"
"CAP_CC0402JRNPO9BN560","CAP0402","","","0402","CAP_0402","","","","","","","YAGEO","","","CC0402JRNPO9BN560","","","Surface Mount","","","","","","","","","","","","","","C0G","","5%","56pF","","50V","","*","C?","CAP CER 56PF 50V C0G/NPO 0402"
"CAP_CL05A104KA5NNNC","CAP0402","","","0402","CAP_0402","","","","","","","Samsung Electro-Mechanics","","","CL05A104KA5NNNC","","","Surface Mount","","","","","","","","","","","","","","X5R","","10%","0.1uF","","25V","","*","C?","CAP CER 0.1UF 25V X5R 0402"
"CAP_CL05C121JB51PNC","CAP0402","","","0402","CAP_0402","","","","","","","Samsung Electro-Mechanics","","","CL05C121JB51PNC","","","Surface Mount","","","","","","","","","","","","","","C0G","","5%","120pF","","50V","","*","C?","CAP CER 120PF 50V C0G/NP0 0402"
"CAP_CL05C220JB51PNC","CAP0402","","","0402","CAP_0402","","","","","","","Samsung Electro-Mechanics","","","CL05C220JB51PNC","","","Surface Mount","","","","","","","","","","","","","","C0G","","5%","22pF","","50V","","*","C?","CAP CER 22PF 50V C0G/NP0 0402"
"CAP_CL10A105KA8NNNC","CAP0402","","","0402","CAP_0402","","","","","","","Samsung Electro-Mechanics","","","CL10A105KA8NNNC","","","Surface Mount","","","","","","","","","","","","","","X5R","","10%","1uF","","25V","","*","C?","CAP CER 1UF 25V X5R 0603"
"CAP_CL21A106KAYNNNE","CAP0805","","","0805","CAP_0805","","","","","","","Samsung Electro-Mechanics","","","CL21A106KAYNNNE","","","Surface Mount","","","","","","","","","","","","","","X5R","","10%","10uF","","25V","","*","C?","CAP CER 10UF 25V X5R 0805"
"CAP_CL21A226MAYNNNE","CAP0805","","","0805","CAP_0805","","","","","","","Samsung Electro-Mechanics","","","CL21A226MAYNNNE","","","Surface Mount","","","","","","","","","","","","","","X5R","","20%","22uF","","25V","","*","C?","CAP CER 22UF 25V X5R 0805"
"CAP_GRM155R71E473KA88D","CAP0402","","","0402","CAP_0402","","","","","","","Murata Electronics","","","GRM155R71E473KA88D","","","Surface Mount","","","","","","","","","","","","","","X7R","","10%","47nF","","25V","","*","C?","CAP CER 0.047UF 25V X7R 0402"
"CONN_1x2","61300211121","","","","CONN_1x2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","J?",""
"DSC1123CI1-027.0000","MICROCHIP_VDFN-6_H5A","","","","DSC1123CI1-027.0000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","MEMS OSC XO 27.0000MHZ LVDS SMD"
"DSC557-0344FI0T","MICROCHIP_QFN2532-14","","","","DSC557-0344FI0T","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","IC CLOCK GEN PCIE 14QFN"
"ESD9B5.0ST5G","ONSEMI_SOD-923","","","","ESD9B5.0ST5G","","","","","","","","","ESD9B5.0ST5G","","","","","","","","","","","","","","","","","","","","","","","","","*","D?","TVS DIODE 5VWM SOD923"
"FTSH-105-01-F-DV-K","FTSH-105-01-F-DV-K-P-TR","","","","FTSH-105-01-F-DV-K","","","","","","","Samtec","","","FTSH-105-01-F-DV-K","","","","","","10","2","","","","","","","","","","","","","","","","","*","J?","CONN HEADER SMD 10POS 1.27MM"
"FUSE_4A_0603","FUSE_0603","","","","","4A","","","","","","","Vishay","","MFU0603FF04000P500","","","SMD","","","","","0603","","","","","","Digi-Key","","749-MFU0603FF04000P500DKR-ND","","","","","","","32V","*","F?","FUSE SMD 4A 32V"
"IND_DFE252012F-1R0M","IND_2520","","","2520","DFE252012F-1R0M","3.3A","","40mOhm","","","1uH","Murata Electronics","","DFE252012F-1R0M","","","","","","","","","","","","","","4.7A","","","","","","20%","","","","","*","L?","FIXED IND 1UH 3.3A 0.04OHM SMD"
"IND_IHLP5050CEER1R5M01","IHLP5050CEER1R5M01","","","Nonstandard","IHLP5050CEER1R5M01","19A","","5.5mOhm","","","1.5uH","Vishay Dale","","IHLP5050CEER1R5M01","","","","","","","","","","","","","","35A","","","","","","20%","","","","","*","L?","FIXED IND 1.5UH 19A 5.5 MOHM SMD"
"IND_SDCHA1V6045-2R2-R","SDCHA1V6045-2R2-R","","","Nonstandard","SDCHA1V6045-2R2-R","6A","","15mOhm","","","2.2uH","Eaton - Electronics Division","","SDCHA1V6045-2R2-R","","","","","","","","","","","","","","9.5A","","","","","","20%","","","","","*","L?","IND SMD POWER 2.2UH 6.0A"
"KRIA_K26_SOM","KRIA_K26_SOM","","","","KRIA_K26_SOM_CONNECTOR","","","","","","","Samtec","","REF-226081-01","","","","","","","480","8","","","","","","","","","","","","","","","","","*","J?","2 x 240 pos Samtec REF-226081-01"
"M20-9770246","61300211121","","","","M20-9770246","","","","","","","","","M20-9770246","","","","","","","","","","2","","","1","","","","","","","","","","","","*","J?","CONN HEADER VERT 2POS 2.54MM"
"MOLEX_22112022","","","","","22112022","","","","","","","Molex","","22112022","","","","","","","","","","2","","","1","","","","","","","","","","","","*","J?","CONN HEADER VERT 2POS 2.54MM"
"MSD-4-A","","","","","MSD-4-A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","J?","MICRO SD CARD CONNECTOR, 9 POSIT"
"PCIe_EDGE","PCIe","","","","PCIe_EDGE_Connector","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","J?","PCIe 3.3V x16"
"PTS_647_SN50_SMTR2_LFS","TACTILE_SW_4.5MM","","","","PTS_647_SN50_SMTR2_LFS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","SW?","SWITCH TACTILE SPST-NO 0.05A 12V"
"S1A-13-F","DIODES_SMA","","","","S1A-13-F","1A","","","1.1V","","","","","S1A-13-F","","","","","","","","","","","","50V","","","","","","","","","","","","","*","D?","Diode 50 V 1A Surface Mount SMA"
"SMAJ15CA","LITTLEFUSE_DO-2014","","","","TVS DIODE 15VWM 24.4VC DO214AC","","","","","","","","","SMAJ15CA","","","","","","","","","","","","","","","","","","","","","","","","","*","D?","24.4V Clamp 16.4A Ipp Tvs Diode Surface Mount DO-214AC (SMA)"
"SN65LVDS180PWR","TI_TSSOP14_PW","","","","SN65LVDS180PWR","","https://www.ti.com/lit/ds/symlink/sn65lvds050.pdf","","","1.2 mm","","","","","","Texas Instruments","SN65LVDS180PWR","","","","","","","","","","","","","","","","","","","","","","*","U?","IC TRANSCEIVER FULL 1/1 14TSSOP"
"SN74LXC1T14DCKR","TI_SC70_DCK0005A","","","","SN74LXC1T14DCKR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","IC TRANSLATOR UNIDIR SC70-5"
"SW_SLIDE_TOGGLE","500SSP1S2M2QEA","","","","","","","","","","","","E-Switch","","500SSP1S2M2QEA","","","TH","","","","","TH","","","","","","Digi-Key","","EG5137-ND","","SPDT","","","","","28V","*","S?","SWITCH SLIDE SPDT 5A 28V"
"TPS3840PH30DBVR","TI_SOT23_DBV0005A","","","","TPS3840PH30DBVR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","IC SUPERVISOR 1 CHANNEL SOT23-5"
"TPS51386RJNR","TI_RJN0012A_POWERVQFN12","","","","TPS51386RJNR","","","","","","","Texas Instruments","","TPS51386RJNR","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","IC REG BUCK ADJ 8A 12-PowerVFQFN"
"TPS563257DRLR","TI_SOT6_DRL0006A","","","","TPS563257DRLR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","IC REG BUCK ADJ 3A SOT563"
"TPS62A01ADRL","TI_SOT6_DRL0006A","","","","TPS62A01ADRL","","","","","","","Texas Instruments","","TLV62568ADRLR","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","IC REG BUCK ADJ 1A SOT5X3"
"TP_1MM","TP_1MM","","","","1mm Round Pad Testpoint","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","TP?",""
"TP_2MM","TP_2MM","","","","2mm Round Pad Testpoint","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","TP?",""
